Opportunity_ID,Lead_ID,Opportunity_Name,Deal_Amount,Sales_Stage,Win_Probability,Expected_Close,Date_Created,Account_Manager,Type,Lead_Source,Product,Forecast_Category,Next_Steps,Competitor,Loss_Reason,Region
LATAM-OPP-000001,LATAM-LEAD-000002,DigitalPeru - Opportunity,459813.0,Negotiation,72,2023-03-12,2022-07-24,Maria Silva,New,Referral,cloud suite,Pipeline,Follow up,Salesforce,,LATAM
LATAM-OPP-000002,LATAM-LEAD-000006,CloudChile - Opportunity,247389.0,Prospecting,30,2023-06-22,2023-02-12,,New,Website,,Best Case,,SAP,,LATAM
LATAM-OPP-000003,LATAM-LEAD-000007,TecnoBrasil - Opportunity,469958.0,CLOSED WON,23,2023-06-22,2022-12-22,Carlos Mendez,Renewal,Referral,Analytics Platform,,,,,LATAM
LATAM-OPP-000004,LATAM-LEAD-000009,SolucionesSmart - Opportunity,373995.0,Qualification,26,2022-06-27,2022-03-24,Maria Silva,Renewal,Trade Show,Integration Tools,Pipeline,Send proposal,Salesforce,,LATAM
LATAM-OPP-000005,LATAM-LEAD-000010,TecnoBrasil - Opportunity,155537.0,,31,2025-09-14,2024-09-19,José Rodriguez,Renewal,Referral,Integration Tools,Omitted,Follow up,SAP,,LATAM
LATAM-OPP-000006,LATAM-LEAD-000012,,368185.0,Needs Analysis,85,2025-01-29,2024-10-14,Maria Silva,,LinkedIn,cloud suite,Best Case,Follow up,Oracle,,LATAM
LATAM-OPP-000007,LATAM-LEAD-000015,TecnoBrasil - Opportunity,266018.0,CLOSED WON,46,2024-09-12,2024-03-08,,Cross-sell,Partner,Security Suite,Commit,Follow up,Salesforce,,LATAM
LATAM-OPP-000008,LATAM-LEAD-000016,InnovaColombia - Opportunity,133654.0,Needs Analysis,58,2023-07-20,2023-01-10,José Rodriguez,Cross-sell,Web Form,,Commit,Schedule demo,Salesforce,,LATAM
LATAM-OPP-000009,LATAM-LEAD-000017,DataArgentina - Opportunity,299656.0,Prospecting,27,2022-06-28,2022-02-10,,Renewal,LinkedIn,cloud suite,Omitted,Follow up,None,,LATAM
LATAM-OPP-000010,LATAM-LEAD-000021,CloudChile - Opportunity,127667.0,Proposal,47,2024-03-19,2023-12-05,,Upsell,,Cloud Suite,,Schedule demo,SAP,,LATAM
LATAM-OPP-000011,LATAM-LEAD-000026,CloudChile - Opportunity,469555.0,Negotiation,69,2022-10-17,2022-09-16,Maria Silva,Renewal,Web Form,Cloud,Omitted,,Oracle,,LATAM
LATAM-OPP-000012,LATAM-LEAD-000027,DataArgentina - Opportunity,313018.0,Negotiation,89,2024-02-29,2023-04-20,José Rodriguez,Renewal,LinkedIn,Integration Tools,Omitted,Follow up,Oracle,,LATAM
LATAM-OPP-000013,LATAM-LEAD-000032,SolucionesSmart - Opportunity,279712.0,,43,2025-02-11,2024-09-09,José Rodriguez,Cross-sell,Trade Show,cloud suite,,,Salesforce,,LATAM
LATAM-OPP-000014,LATAM-LEAD-000033,SolucionesSmart - Opportunity,172841.0,Proposal,47,2025-09-15,2024-11-30,,Renewal,Email Marketing,Integration Tools,Pipeline,Schedule demo,,,LATAM
LATAM-OPP-000015,LATAM-LEAD-000035,TecnoBrasil - Opportunity,200723.0,,78,2025-11-09,2024-01-29,José Rodriguez,New,Referral,Integration Tools,Best Case,,SAP,,LATAM
LATAM-OPP-000016,LATAM-LEAD-000036,CloudChile - Opportunity,,Negotiation,69,2024-07-04,2023-10-08,Maria Silva,Upsell,web form,Analytics Platform,Best Case,Schedule demo,None,,LATAM
LATAM-OPP-000017,LATAM-LEAD-000040,,419939.0,Proposal,57,2024-08-06,2024-04-03,Carlos Mendez,,Partner,Cloud Suite,,,,,LATAM
LATAM-OPP-000018,LATAM-LEAD-000041,DigitalPeru - Opportunity,269370.0,Closed Won,100,2023-02-07,2022-03-13,,Renewal,LinkedIn,Cloud,,Send proposal,None,,LATAM
LATAM-OPP-000019,LATAM-LEAD-000044,TecnoBrasil - Opportunity,,Closed Lost,0,2024-01-24,2023-01-30,José Rodriguez,Cross-sell,Email Marketing,,Pipeline,,Oracle,,LATAM
